X,Y,X,Y,NRO,RAMO_O_C,TIPO,DATOS,IMAGEN,NROCOMP,CANAL,CODIGOCOMP,RAMO,CALLE,CANAL_PPAL,OBSERVACIO,icon_url
-68.254606,-31.740371,"2570723","6488867","0",Ramo Sec. calle 23,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 23\000_0267.gif,,,"0",,Calle 23,Canal 1ra. Seccion,,
-68.255817,-31.745987,"2570604","6488245","0",Ramo Sec. calle 23,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 23\000_0268.gif,,,"0",,Calle 23,Canal 1ra. Seccion,,
-68.249455,-31.747068,"2571206","6488121","0",Ramo Sec. calle 23,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 23\000_0269.gif,,,"0",,Calle 23,Canal 1ra. Seccion,,
-68.242279,-31.748315,"2571885","6487978","0",Ramo Sec. calle 23,Compuerta,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 23\000_0270.gif,,,"0",,Calle 23,Canal 1ra. Seccion,,
-68.258502,-31.757657,"2570337","6486983","0",Ramo Sec. calle 23,Toma,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 23\000_0075.gif,,,"0",,Calle 23,Canal 2da. Seccion,Toma desde Canal Segunda Seccion,
-68.261282,-31.768763,"2570069","6485723","0",Ramo Sec. calle 23,Compuerta,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 23\000_0272.gif,,,"0",,Calle 23,Canal 2da. Seccion,,
-68.260929,-31.709795,"2570123","6492283","0",Ramo Sec. calle 22,Compuerta Nº 1,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0251.gif,,,"0",,Calle 22,Canal 1ra. Seccion,,
-68.263898,-31.720963,"2569857","6491025","0",Ramo Sec. calle 22,Compuerta Nº 2,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0252.gif,,,"0",,Calle 22,Canal 1ra. Seccion,,
-68.26652,-31.732368,"2569600","6489762","0",Ramo Sec. calle 22,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0253.gif,,,"0",,Calle 22,Canal 1ra. Seccion,,
-68.267696,-31.737137,"2569485","6489234","0",Ramo Sec. calle 22,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0254.gif,,,"0",,Calle 22,Canal 1ra. Seccion,,
-68.269258,-31.743738,"2569332","6488503","0",Ramo Sec. calle 22,Compuerta,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0255.gif,,,"0",,Calle 22,Canal 1ra. Seccion,,
-68.271759,-31.755278,"2569068","6487239","0",Ramo Sec. calle 22,Compuerta,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0256.gif,,,"0",,Calle 22,Canal 2da. Seccion,,
-68.274643,-31.766432,"2568805","6485990","0",Ramo Sec. calle 22,Compuerta,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0257.gif,,,"0",,Calle 22,Canal 2da. Seccion,,
-68.277299,-31.777773,"2568545","6484734","0",Ramo Sec. calle 22,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0258.gif,,,"0",,Calle 22,Canal 2da. Seccion,,
-68.279998,-31.789179,"2568281","6483471","0",Ramo Sec. calle 22,,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0258.gif,,,"0",,Calle 22,Canal 2da. Seccion,,
-68.282291,-31.800432,"2568020","6482216","0",Ramo Sec. calle 22,Toma,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0110.gif,,,"0",,Calle 22,Canal 3ra. Seccion,Toma desde Canal Tercera Seccion,
-68.285324,-31.811808,"2567760","6480965","0",Ramo Sec. calle 22,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0260.gif,,,"0",,Calle 22,Canal 3ra. Seccion,,
-68.288006,-31.822988,"2567498","6479727","0",Ramo Sec. calle 22,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0261.gif,,,"0",,Calle 22,Canal 3ra. Seccion,,
-68.288057,-31.823177,"2567493","6479706","0",Ramo Sec. calle 22,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0262.gif,,,"0",,Calle 22,Canal 3ra. Seccion,,
-68.274626,-31.825338,"2568763","6479458","0",Ramo Sec. calle 22,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0263.gif,,,"0",,Calle 22,Canal 3ra. Seccion,,
-68.261953,-31.827781,"2569961","6479179","0",Ramo Sec. calle 22,Fin de ramo,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 22\000_0264.gif,,,"0",,Calle 22,Canal 3ra. Seccion,,
-68.274362,-31.707385,"2568874","6492552","0",Ramo Sec. calle 21,Compuerta Nº 1,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0233.gif,,,"0",,Calle 21,Canal 1ra. Seccion,Compuerta,
-68.276225,-31.715037,"2568693","6491690","0",Ramo Sec. calle 21,Compuerta Nº 2,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0234.gif,,,"0",,Calle 21,Canal 1ra. Seccion,Compuerta,
-68.277135,-31.718748,"2568604","6491279","0",Ramo Sec. calle 21,Compuerta Nº 3,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0235.gif,,,"0",,Calle 21,Canal 1ra. Seccion,Compuerta,
-68.278697,-31.725458,"2568451","6490536","0",Ramo Sec. calle 21,Compuerta Nº 4,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0236.gif,,,"0",,Calle 21,Canal 1ra. Seccion,Compuerta,
-68.279811,-31.730081,"2568342","6490024","0",Ramo Sec. calle 21,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0238.gif,,,"0",,Calle 21,Canal 1ra. Seccion,Partidor Libre,
-68.282467,-31.74145,"2568082","6488765","0",Ramo Sec. calle 21,Compuerta Nº 6,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0239.gif,,,"0",,Calle 21,Canal 1ra. Seccion,,
-68.282267,-31.74144,"2568101","6488766","0",Ramo Sec. calle 21,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0240.gif,,,"0",,Calle 21,Canal 1ra. Seccion,Partidor Libre - Fin de ramo,
-68.285366,-31.752848,"2567799","6487503","0",Ramo Sec. calle 21,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0081.gif,,,"0",,Calle 21,Canal 2da. Seccion,Inicio de ramo 21 desde canal Segunda Seccion,
-68.285238,-31.752991,"2567811","6487487","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0241.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.287886,-31.764234,"2567552","6486242","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0242.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.290534,-31.775485,"2567293","6484996","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0243.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.293121,-31.78652,"2567040","6483774","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0244.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.293121,-31.786547,"2567040","6483771","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0245.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.293141,-31.786592,"2567038","6483766","0",Ramo Sec. calle 21,Partidor,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0246.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.293162,-31.786619,"2567036","6483763","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0246.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.293141,-31.786637,"2567038","6483761","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0246.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.29316,-31.786935,"2567036","6483728","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0247.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
-68.29316,-31.786926,"2567036","6483729","0",Ramo Sec. calle 21,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 21\000_0247.gif,,,"0",,Calle 21,Canal 2da. Seccion,,
